Cohort,Week,Exp_box,From_Box,Mouse_index,Mark,Sex,Genotype,Fat_g,Lean_g,NMR Total Weight (g),Mass_g,Propmass_bodyfat,Leanmass_perc
101119,8,1,232,1,LC,Male,Het,2.61,19.32,21.93,23.5,11.90150479,88.09849521
101119,8,1,232,2,RC,Male,Het,2.58,20.28,22.86,24.5,11.28608924,88.71391076
101119,8,1,232,3,BC,Male,WT,2.8,19.82,22.62,23.9,12.37842617,87.62157383
101119,8,2,233,4,LC,Female,WT,2.12,15.95,18.07,19.7,11.73215274,88.26784726
101119,8,3,234,5,RC,Male,Het,4.8,20.6,25.4,26.9,18.8976378,81.1023622
101119,8,3,234,6,BC,Male,WT,4.8,19.93,24.73,26,19.40962394,80.59037606
101119,8,4,235,7,LC,Female,Het,2.95,15.7,18.65,19.9,15.81769437,84.18230563
101119,8,4,235,8,RC,Female,WT,2.82,13.45,16.27,16.9,17.33251383,82.66748617
101119,8,5,237,9,LC,Male,WT,2.75,20.17,22.92,24,11.9982548,88.0017452
101119,8,6,238,10,LC,Female,Het,2.26,15.41,17.67,18.6,12.79003962,87.20996038
101119,8,6,238,11,RC,Female,Het,2.18,16.32,18.5,19.5,11.78378378,88.21621622
101119,8,6,238,12,BC,Female,WT,2.06,15.35,17.41,18.3,11.8322803,88.1677197
101119,8,7,240,13,LC,Female,Het,2.75,17.97,20.72,21.8,13.27220077,86.72779923
101119,8,7,240,14,RC,Female,Het,2.63,17.57,20.2,21.3,13.01980198,86.98019802
101119,8,7,240,15,BC,Female,WT,2.48,17.43,19.91,20.9,12.45605224,87.54394776
101119,8,7,240,16,LP,Female,WT,3.34,16.69,20.03,20.8,16.67498752,83.32501248
101119,8,8,241,17,LC,Male,Het,3.1,20.06,23.16,24.2,13.3851468,86.6148532
101119,8,8,241,18,RC,Male,Het,2.57,17.2,19.77,20,12.99949418,87.00050582
101119,8,8,241,19,BC,Male,WT,3.4,20.44,23.84,24.3,14.26174497,85.73825503
101119,8,9,242,20,LC,Female,Het,2.65,15.69,18.34,18.6,14.44929117,85.55070883
101119,8,9,242,21,RC,Female,WT,2.81,14.75,17.56,17.9,16.0022779,83.9977221
101119,12,1,232,1,LC,Male,Het,8.14,20.24,28.38,29.6,28.68217054,71.31782946
101119,12,1,232,2,RC,Male,Het,8.7,21.35,30.05,31.6,28.95174709,71.04825291
101119,12,1,232,3,BC,Male,WT,8.4,20.2,28.6,30.2,29.37062937,70.62937063
